"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)","Violence against
 the person",Homicide,"Death or serious
 injury caused by
 illegal driving",Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Column1
E23000036,Avon and Somerset,,,,,"132,387","45,818",13,2,"11,903","20,132","13,768","4,033","1,835","39,444","7,769","5,382","2,387","9,085","1,025","2,695","8,158","10,712","14,779","3,970",949,"19,313","2,246",
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,"11,891","3,814",2,0,"1,020","1,677","1,115",357,133,"3,971",798,521,277,769,108,182,975,"1,139","1,323",364,74,"1,685",170,
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,"Bristol, City of ","50,197","16,204",6,1,"4,283","7,423","4,491","1,419",999,"15,915","2,827","2,043",784,"4,058",581,"1,654","2,839","3,956","5,366","1,483",360,"7,629",822,
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,"14,978","5,739",1,0,"1,559","2,520","1,659",399,154,"4,085",860,634,226,986,76,183,928,"1,052","1,473",490,160,"2,229",249,
E23000036,Avon and Somerset,E22000369,Somerset,E07000187,Mendip,"9,348","3,491",1,0,893,"5,974","4,417","1,259",338,"9,787","2,170","1,366",804,"1,932",170,334,"2,114","3,067","4,585",985,265,"5,588",621,
E23000036,Avon and Somerset,E22000369,Somerset,E07000188,Sedgemoor,"9,348","3,491",1,0,893,"5,974","4,417","1,259",338,"9,787","2,170","1,366",804,"1,932",170,334,"2,114","3,067","4,585",985,265,"5,588",621,
E23000036,Avon and Somerset,E22000369,Somerset,E07000189,South Somerset,"9,348","3,491",1,0,893,"5,974","4,417","1,259",338,"9,787","2,170","1,366",804,"1,932",170,334,"2,114","3,067","4,585",985,265,"5,588",621,
E23000036,Avon and Somerset,E22000369,Somerset,E07000246,Somerset West and Taunton,"9,348","3,491",1,0,893,"5,974","4,417","1,259",338,"9,787","2,170","1,366",804,"1,932",170,334,"2,114","3,067","4,585",985,265,"5,588",621,
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,"16,443","5,651",1,0,"1,369","2,350","1,931",439,185,"5,345","1,053",766,287,"1,258",76,316,"1,287","1,355","1,897",490,79,"2,034",323,
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,"1,485",445,0,0,102,188,155,160,26,341,61,52,9,82,14,26,15,143,135,158,11,148,61,
