,RF Importance
health_sector_size_ratio_to_households,0.223560994020395
retail_sector_size_ratio_to_households,0.22674991762134158
taxi_only_licensed_drivers_ratio_to_households,0.08968235374350605
total_drivers_ratio_to_households,0.06311694856697013
A_B_property_counts,0.05816252475539516
C_D_property_counts,0.04853474394365972
E_F_property_counts,0.07206276904327938
G_H_property_counts,0.0847212458965629
Male life expectancy at birth (2012/2020)4,0.06497898284108285
Female life expectancy at birth (2020)4,0.06842951956780732
