,Violence against the person ratio,Sexual offences ratio,Robbery ratio,Theft offences ratio,Criminal damage and arson ratio,Drug offences ratio,Other Crime Ratio,Total Employee All (thousands),Male life expectancy at birth (2012/2020)4,Female life expectancy at birth (2020)4,Median,Lower quartile,total_hoseholds_projected_2020,Year 2020: Households with dependent children ratio,Year 2020: One person households: Female ratio,Year 2020: One person households: Male ratio,pop_ratio_under_10,pop_ratio_teenager,pop_ratio_20_39,pop_ratio_40_60,pop_ratio_60_80,pop_ratio_80_90+,POP All ages,Total area as at 31 December 2020 (Hectares),median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020,Total_Threaten_or_is_Homeless,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,Taxi_only_licensed_drivers,Total_licensed_vehicles,total_drivers,Retail,Education,Health,"Arts, entertainment, recreation & other services"
0,0.387647502,0.03213658,0.006276676,0.266633191,0.129299523,0.037660055,0.140346473,20.5,80.2,83.6,900.0,750.0,28205.0,0.425428881,0.334970577,0.239600542,0.115755527,0.10698428,0.202174895,0.2785455,0.227366912,0.069172885,64187.0,4210.0,315000.0,30072.0,10.47,262500.0,23956.0,10.96,53.0,7860.0,17650.0,2730.0,320.0,48.0,118.0,166.0,175.0,45.0,90.0,160.0
1,0.41684306,0.029029332,0.005291805,0.303900816,0.138796492,0.017689749,0.088448745,31.3,78.7,82.2,595.0,500.0,50050.0,0.42085213,0.325149133,0.253998737,0.092608807,0.103230828,0.195609683,0.257785207,0.273253911,0.077511564,113067.0,28220.0,164500.0,27252.0,6.04,125000.0,20928.0,5.97,101.0,24030.0,20330.0,7960.0,1160.0,0.0,239.0,239.0,425.0,40.0,140.0,235.0
2,0.395477559,0.035870591,0.011327555,0.278082897,0.108512829,0.030335536,0.140393032,33.5,82.4,86.6,1000.0,850.0,38300.0,0.570763433,0.25663582,0.172600748,0.118760757,0.122377264,0.205085649,0.297434637,0.199307434,0.057034259,97608.0,21530.0,415000.0,41491.0,10.0,325000.0,27829.0,11.68,29.0,2990.0,18860.0,15050.0,4160.0,0.0,209.0,209.0,220.0,90.0,140.0,305.0
3,0.404628891,0.039505188,0.002394254,0.259377494,0.130087789,0.030726257,0.133280128,24.2,80.9,85.1,575.0,495.0,24223.0,0.397628392,0.325329494,0.277042114,0.088105071,0.097388101,0.183744466,0.278788555,0.279235034,0.072738773,53754.0,215650.0,195000.0,30707.0,6.35,142000.0,20904.0,6.79,29.0,11710.0,10460.0,4590.0,440.0,82.0,88.0,170.0,185.0,55.0,75.0,145.0
4,0.34665398,0.034253092,0.006343165,0.332381859,0.131620679,0.039961941,0.108785284,65.4,78.0,81.5,625.0,550.0,81651.0,0.461528476,0.277233268,0.261238255,0.125820626,0.120430186,0.249008956,0.264058141,0.192377876,0.048304214,190708.0,9950.0,178000.0,32173.0,5.53,130000.0,22714.0,5.72,235.0,48950.0,26490.0,7360.0,1450.0,48.0,754.0,802.0,795.0,135.0,340.0,490.0
5,0.369736842,0.034786184,0.007236842,0.339638158,0.106990132,0.039802632,0.101809211,105.1,80.1,83.5,780.0,695.0,87466.0,0.441104682,0.299127095,0.259768223,0.09503251,0.116069228,0.317484314,0.234853942,0.182529904,0.054030103,211012.0,27190.0,247000.0,29065.0,8.5,196000.0,21287.0,9.21,228.0,38030.0,40240.0,11560.0,1990.0,282.0,681.0,963.0,540.0,155.0,290.0,520.0
6,0.35613853,0.036425403,0.008021138,0.310465226,0.117580447,0.036142304,0.135226951,46.2,79.8,83.8,830.0,675.0,72523.0,0.38906714,0.366451647,0.244481212,0.100016757,0.097285924,0.192089273,0.25232276,0.271897867,0.086387418,161123.0,22100.0,287500.0,28861.0,9.96,227000.0,20657.0,10.99,204.0,20800.0,36070.0,16460.0,2990.0,0.0,168.0,168.0,460.0,85.0,245.0,370.0
7,0.439854192,0.037424058,0.003402187,0.271931956,0.130498177,0.02308627,0.093803159,38.6,79.7,82.6,575.0,475.0,38736.0,0.356779736,0.339876198,0.303344065,0.090283336,0.101020798,0.183571191,0.271527256,0.27427319,0.079324229,81211.0,16570.0,205000.0,36089.0,5.68,146000.0,26375.0,5.54,64.0,13800.0,16630.0,7900.0,1770.0,29.0,203.0,232.0,300.0,55.0,125.0,205.0
8,0.3704982675,0.0288503,0.011135662000000001,0.2750842965,0.11153950700000001,0.064695981,0.1381959855,101.7,77.7,81.3,525.0,450.0,144872.0,0.465866885,0.251256098,0.282877016,0.114637509,0.114955006,0.244962384,0.275390672,0.205616972,0.044437456,330712.0,18820.0,147000.0,29872.0,4.92,105000.0,21951.0,4.78,589.0,101680.0,37500.0,8850.0,690.0,179.0,887.0,1066.0,770.0,150.0,350.0,645.0
9,0.347964763,0.025415148,0.015643985,0.339003645,0.096344674,0.046729445,0.128898339,92.6,78.4,82.2,800.0,675.0,77427.0,0.568374333,0.216614806,0.215010861,0.161791428,0.132703908,0.290317897,0.243925855,0.133120715,0.038140197,213528.0,4340.0,251000.0,29467.0,8.52,210000.0,21870.0,9.6,419.0,47640.0,30360.0,4510.0,300.0,103.0,959.0,1062.0,705.0,135.0,350.0,345.0
