,Scores
Education,0.020108057215190794
"Arts, entertainment, recreation & other services",0.3676778281434264
Year 2020: One person households: Female ratio,0.3971856403754499
Year 2020: One person households: Male ratio,0.014889194549332194
Year 2020: Households with dependent children ratio,0.2926450030925682
pop_ratio_under_10,0.22607768063432787
pop_ratio_teenager,-0.0011815511682545458
pop_ratio_20_39,1.0010185114307903
pop_ratio_40_60,0.753192355967151
pop_ratio_60_80,-0.037599087292331565
pop_ratio_80_90+,0.6633042661800929
