,RF Importance
Education,0.08343101138252837
"Arts, entertainment, recreation & other services",0.09593080201646897
Year 2020: One person households: Female ratio,0.0969180529805123
Year 2020: One person households: Male ratio,0.11697961621397004
Year 2020: Households with dependent children ratio,0.09214741923611286
pop_ratio_under_10,0.08854600646863534
pop_ratio_teenager,0.08824838794789544
pop_ratio_20_39,0.07420829017405352
pop_ratio_40_60,0.11147710711791411
pop_ratio_60_80,0.07460733302247419
pop_ratio_80_90+,0.07750597343943486
